"","num_variables","max_logit","max_LDA","max_KNN1","max_KNN5","max_KNN10","max_KNN20","max_KNN50"
"1",1,0.824502051553101,0.826343611975897,0.950685470278704,0.936753189352903,0.901013545647948,0.887111755414542,0.818787765838815
"2",2,0.86515397595981,0.851825754960339,0.95853806601021,0.948580207120809,0.942162720902215,0.934381331223223,0.856112599662505
"3",3,0.871370960925271,0.863921923866961,0.95853806601021,0.956597701079191,0.95242533395659,0.942703579346579,0.854070874056331
"4",4,0.883807487023125,0.870644164250529,0.961184187612469,0.96227638376722,0.970365083778117,0.915727820159908,0.858418700143288
"5",5,0.89087767162726,0.872749427408424,0.963053346490974,0.96227638376722,0.968259820620222,0.909746939473837,0.862192620926554
"6",6,0.893356338835712,0.870644164250529,0.963053346490974,0.958502462983953,0.965745550385513,0.904688325853235,0.861956516647164
"7",7,0.897602468177758,0.872749427408424,0.963053346490974,0.958502462983953,0.964181145671982,0.904617119800721,0.857207351984186
"8",8,0.909363392227012,0.872749427408424,0.963053346490974,0.954692939174429,0.95398718250319,0.898938437112692,0.859381265027665
"9",9,0.9113012009911,0.870644164250529,0.961184187612469,0.952485979271625,0.942739182372836,0.877493917646616,0.859381265027665
"10",10,0.913104602220708,0.864262281058192,0.960676376027432,0.95061682039312,0.940565269329357,0.873077441674075,0.859381265027665
"11",11,0.910427989926054,0.861956516647164,0.950990224443677,0.946101539912357,0.936826951572348,0.873851848230898,0.859381265027665
"12",12,0.909028483439399,0.857877841698924,0.937121144999842,0.935358795200109,0.920720757603069,0.871172679769314,0.855338193105682
"13",13,0.907227974446478,0.851424752454073,0.922823464594033,0.921157363135592,0.885206657440024,0.8655652031338,0.828898261500969
